Left and Right Hemisphere,Anatomical and modified Cyto-architectonic descriptions
SFG_L(R)_7_1,"A8m, medial area 8"
SFG_L(R)_7_2,"A8dl, dorsolateral area 8"
SFG_L(R)_7_3,"A9l, lateral area 9"
SFG_L(R)_7_4,"A6dl, dorsolateral area 6"
SFG_L(R)_7_5,"A6m, medial area 6"
SFG_L(R)_7_6,"A9m,medial area 9"
SFG_L(R)_7_7,"A10m, medial area 10"
MFG_L(R)_7_1,"A9/46d, dorsal area 9/46"
MFG_L(R)_7_2,"IFJ, inferior frontal junction"
MFG_L(R)_7_3,"A46, area 46"
MFG_L(R)_7_4,"A9/46v, ventral area 9/46 "
MFG_L(R)_7_5,"A8vl, ventrolateral area 8"
MFG_L(R)_7_6,"A6vl, ventrolateral area 6"
MFG_L(R)_7_7,"A10l, lateral area10"
IFG_L(R)_6_1,"A44d,dorsal area 44"
IFG_L(R)_6_2,"IFS, inferior frontal sulcus"
IFG_L(R)_6_3,"A45c, caudal area 45"
IFG_L(R)_6_4,"A45r, rostral area 45"
IFG_L(R)_6_5,"A44op, opercular area 44"
IFG_L(R)_6_6,"A44v, ventral area 44"
OrG_L(R)_6_1,"A14m, medial area 14"
OrG_L(R)_6_2,"A12/47o, orbital area 12/47"
OrG_L(R)_6_3,"A11l, lateral area 11"
OrG_L(R)_6_4,"A11m, medial area 11"
OrG_L(R)_6_5,"A13, area 13"
OrG_L(R)_6_6,"A12/47l, lateral area 12/47"
PrG_L(R)_6_1,"A4hf, area 4(head and face region)"
PrG_L(R)_6_2,"A6cdl, caudal dorsolateral area 6"
PrG_L(R)_6_3,"A4ul, area 4(upper limb region)"
PrG_L(R)_6_4,"A4t, area 4(trunk region)"
PrG_L(R)_6_5,"A4tl, area 4(tongue and larynx region)"
PrG_L(R)_6_6,"A6cvl, caudal ventrolateral area 6"
PCL_L(R)_2_1,"A1/2/3ll, area1/2/3 (lower limb region)"
PCL_L(R)_2_2,"A4ll, area 4, (lower limb region)"
STG_L(R)_6_1,"A38m, medial area 38"
STG_L(R)_6_2,"A41/42, area 41/42"
STG_L(R)_6_3,TE1.0 and TE1.2
STG_L(R)_6_4,"A22c, caudal area 22"
STG_L(R)_6_5,"A38l, lateral area 38"
STG_L(R)_6_6,"A22r, rostral area 22"
MTG_L(R)_4_1,"A21c, caudal area 21"
MTG_L(R)_4_2,"A21r, rostral area 21"
MTG_L(R)_4_3,"A37dl, dorsolateral area37"
MTG_L(R)_4_4,"aSTS, anterior superior temporal sulcus"
ITG_L(R)_7_1,"A20iv, intermediate ventral area 20"
ITG_L(R)_7_2,"A37elv, extreme lateroventral area37"
ITG_L(R)_7_3,"A20r, rostral area 20"
ITG_L(R)_7_4,"A20il, intermediate lateral area 20"
ITG_L(R)_7_5,"A37vl, ventrolateral area 37"
ITG_L(R)_7_6,"A20cl, caudolateral of area 20"
ITG_L(R)_7_7,"A20cv, caudoventral of area 20"
FuG_L(R)_3_1,"A20rv, rostroventral area 20"
FuG_L(R)_3_2,"A37mv, medioventral area37"
FuG_L(R)_3_3,"A37lv, lateroventral area37"
PhG_L(R)_6_1,"A35/36r, rostral area 35/36"
PhG_L(R)_6_2,"A35/36c, caudal area 35/36"
PhG_L(R)_6_3,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)"
PhG_L(R)_6_4,"A28/34, area 28/34 (EC, entorhinal cortex)"
PhG_L(R)_6_5,"TI, area TI(temporal agranular insular cortex)"
PhG_L(R)_6_6,"TH, area TH (medial PPHC)"
pSTS_L(R)_2_1,"rpSTS, rostroposterior superior temporal sulcus"
pSTS_L(R)_2_2,"cpSTS, caudoposterior superior temporal sulcus"
SPL_L(R)_5_1,"A7r, rostral area 7"
SPL_L(R)_5_2,"A7c, caudal area 7"
SPL_L(R)_5_3,"A5l, lateral area 5"
SPL_L(R)_5_4,"A7pc, postcentral area 7"
SPL_L(R)_5_5,"A7ip, intraparietal area 7(hIP3)"
IPL_L(R)_6_1,"A39c, caudal area 39(PGp)"
IPL_L(R)_6_2,"A39rd, rostrodorsal area 39(Hip3)"
IPL_L(R)_6_3,"A40rd, rostrodorsal area 40(PFt)"
IPL_L(R)_6_4,"A40c, caudal area 40(PFm)"
IPL_L(R)_6_5,"A39rv, rostroventral area 39(PGa)"
IPL_L(R)_6_6,"A40rv, rostroventral area 40(PFop)"
PCun_L(R)_4_1,"A7m, medial area 7(PEp)"
PCun_L(R)_4_2,"A5m, medial area 5(PEm)"
PCun_L(R)_4_3,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) "
PCun_L(R)_4_4,"A31, area 31 (Lc1)"
PoG_L(R)_4_1,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)"
PoG_L(R)_4_2,"A1/2/3tonIa, area 1/2/3(tongue and larynx region)"
PoG_L(R)_4_3,"A2, area 2"
PoG_L(R)_4_4,"A1/2/3tru, area1/2/3(trunk region)"
INS_L(R)_6_1,"G, hypergranular insula"
INS_L(R)_6_2,"vIa, ventral agranular insula"
INS_L(R)_6_3,"dIa, dorsal agranular insula"
INS_L(R)_6_4,"vId/vIg, ventral dysgranular and granular insula"
INS_L(R)_6_5,"dIg, dorsal granular insula"
INS_L(R)_6_6,"dId, dorsal dysgranular insula"
CG_L(R)_7_1,"A23d, dorsal area 23"
CG_L(R)_7_2,"A24rv, rostroventral area 24"
CG_L(R)_7_3,"A32p, pregenual area 32"
CG_L(R)_7_4,"A23v, ventral area 23"
CG_L(R)_7_5,"A24cd, caudodorsal area 24"
CG_L(R)_7_6,"A23c, caudal area 23"
CG_L(R)_7_7,"A32sg, subgenual area 32"
MVOcC _L(R)_5_1,"cLinG, caudal lingual gyrus"
MVOcC _L(R)_5_2,"rCunG, rostral cuneus gyrus"
MVOcC _L(R)_5_3,"cCunG, caudal cuneus gyrus"
MVOcC _L(R)_5_4,"rLinG, rostral lingual gyrus"
MVOcC _L(R)_5_5,"vmPOS,ventromedial parietooccipital sulcus"
