bacon	0.116433	0.232833	0.550046	0.787214	0.626759	0.681348	0.192226	0.084269	0.036010	0.124667	0.613674	0.572090	0.206810	0.036169	0.011018	0.001257	
bagel	0.141570	0.163671	0.558933	0.763258	0.641817	0.572411	0.204355	0.023741	0.010081	0.065154	0.542186	0.674409	0.269506	0.064532	0.015398	0.001626	
banel	0.231049	0.295110	0.592000	0.375322	0.495993	0.977794	0.570047	0.342589	0.104997	0.413873	0.669315	0.636610	0.184735	0.060497	0.105192	0.002710	
banic	0.119380	0.259404	0.580366	0.340874	0.541610	1.000000	0.691394	0.231645	0.091286	0.330940	0.704546	0.562270	0.112295	0.062643	0.083126	0.000766	
baron	0.137988	0.292042	0.375216	0.524859	0.297033	0.634558	0.819746	0.370567	0.160398	0.494901	0.548985	0.385237	0.148202	0.040506	0.064485	0.001511	
basin	0.322195	0.530539	0.701204	0.626962	0.781993	0.523794	0.121117	0.052891	0.018131	0.102146	0.487498	0.462455	0.140294	0.016761	0.006276	0.002573	
belet	0.139430	0.267680	0.326702	0.653884	0.208788	0.601535	0.771506	0.526002	0.316952	0.786194	0.293493	0.435292	0.120297	0.046675	0.082003	0.002735	
berin	0.109389	0.207283	0.460477	0.568112	0.357527	0.820977	0.753453	0.230874	0.094279	0.392318	0.559778	0.364733	0.096764	0.030025	0.061038	0.001682	
beris	0.052979	0.070110	0.381898	0.370021	0.552348	0.928343	0.735768	0.137407	0.070647	0.415559	0.627992	0.461314	0.217510	0.059165	0.014855	0.002820	
bison	0.195159	0.196775	0.517627	0.395861	0.357699	0.706297	0.866478	0.601989	0.525729	0.591194	0.351669	0.399251	0.181644	0.028097	0.102823	0.000353	
bonus	0.128961	0.090190	0.554348	0.424290	0.588048	0.939104	0.802763	0.534239	0.771684	0.076125	0.028774	0.169070	0.175068	0.020521	0.005287	0.000052	
boreb	0.129306	0.271334	0.405864	0.673434	0.469947	0.825748	0.542369	0.518530	0.033161	0.002538	0.004730	0.082534	0.073331	0.012141	0.000253	0.000009	
boril	0.067673	0.090734	0.576523	0.453193	0.611434	0.957055	0.736427	0.570352	0.037111	0.002742	0.003962	0.108646	0.035689	0.011236	0.000521	0.000089	
cabin	0.604004	0.226033	0.137705	0.320364	0.067544	0.147670	0.268022	0.440771	0.120501	0.454997	0.870036	0.903313	0.913231	0.433279	0.224531	0.062339	
camel	0.801365	0.765801	0.244210	0.533662	0.234487	0.175670	0.303171	0.599259	0.141732	0.366107	0.729608	0.916645	0.688318	0.209702	0.230791	0.037011	
caris	0.139418	0.497965	0.543793	0.503300	0.270388	0.370823	0.401905	0.250217	0.069312	0.230635	0.887404	0.881583	0.565974	0.326569	0.184765	0.071470	
casef	0.423850	0.310330	0.321482	0.337960	0.215364	0.279054	0.467501	0.753122	0.283164	0.516794	0.894054	0.899569	0.713264	0.204025	0.102543	0.047881	
cazel	0.639054	0.595911	0.072418	0.574172	0.047112	0.098281	0.220219	0.550090	0.183661	0.462730	1.000000	0.878243	0.652843	0.236881	0.057735	0.021737	
